pecha id,language,url
PD17EEB24,en,https://github.com/OpenPecha/PD17EEB24
P54335B31,de,https://github.com/OpenPecha/P54335B31
PCBAB5F88,es,https://github.com/OpenPecha/PCBAB5F88
PA2DD2A1B,fr,https://github.com/OpenPecha/PA2DD2A1B
P4B220533,it,https://github.com/OpenPecha/P4B220533
P003A3F59,nl,https://github.com/OpenPecha/P003A3F59
P6376A314,pt,https://github.com/OpenPecha/P6376A314
P257BB219,zh,https://github.com/OpenPecha/P257BB219
PA2CB44EA,bo,https://github.com/OpenPecha/PA2CB44EA
